Code,Account,Courses Taken,Pass Rate,Number of Audits
Dealer 604,ultra solar & wind solutions llc,2,0,1
Dealer 605,urban energy,48,0.9375,16
Dealer 606,us solarworks llc,4,0,1
Dealer 607,usnoa inc,1,0,1
Dealer 608,"valley heating, cooling, electrical",1,0,1
Dealer 609,"valley pacific builders inc, dba pacific solar",48,0.916666667,12
Dealer 610,valley solar inc,12,1,3
Dealer 611,vantage home solar llc,8,1,8
Dealer 612,venture solar,495,0.606060606,33
Dealer 613,verengo inc,6,1,3
Dealer 614,via solar,6,0,1
Dealer 615,vinyasun,0,0,32
Dealer 616,viridis energy,0,0,12
Dealer 617,vision solar llc,236,0.576271186,59
Dealer 618,vista solar,1,0,1
Dealer 619,volt modern,0,0,6
Dealer 620,voltaic solaire,0,0,2
Dealer 621,wegen solar inc,2,0,1
Dealer 622,western sierra roofing,1,0,1
Dealer 623,western sun systems,2,0,1
Dealer 624,westhaven solar & construction,8,0,1
Dealer 625,wildwood aquatech pools,2,0,1
Dealer 626,windor,1,0,1
Dealer 627,xero solar,5,0,1
Dealer 628,yellowlite,2,0,1
Dealer 629,yes solar solutions,9,0,3
